Chunk_ID,Document_ID,Category,Entity_Type,Entity_Name,Chunk_Type,Char_Count,Token_Estimate,Embedding_Model,Embedding_Dimension,Created_Date,Last_Updated,Version,Status,Quality_Score,Retrieval_Count,Avg_Relevance_Score,Notes,Chunk_Text
CAND_0B2915BCAF_CHUNK_01,CAND_0B2915BCAF,Supply Chain Evidence,Facet,who makes what where at what scale,segment 3,355,51,ollama:nomic-embed-text,768,2026-03-24,2026-03-24,1,Keep,72.56,0,72.56,"facet=who makes what where at what scale industry by leveraging its global production base and R&D capabilities, as well as its production and quality management know-how. Headquartered in Seoul, South Korea, SK On has a worldwide presence with battery plants currently operating o","industry by leveraging its global production base and R&D capabilities, as well as its production and quality management know-how. Headquartered in Seoul, South Korea, SK On has a worldwide presence with battery plants currently operating or in construction across the United States, Europe, and Asia. [email protected] [email protected] [email protected]"
CAND_0B2915BCAF_CHUNK_02,CAND_0B2915BCAF,Supply Chain Evidence,Facet,who makes what where at what scale,segment 2,1231,180,ollama:nomic-embed-text,768,2026-03-24,2026-03-24,1,Keep,70.68,0,70.68,"facet=who makes what where at what scale e industry, and innovation, the battery partnership should thrive in this environment. We look forward to welcoming HMG and SK in meaningful ways in the community and enjoying a long-term partnership together."" Director of Korean Investment","e industry, and innovation, the battery partnership should thrive in this environment. We look forward to welcoming HMG and SK in meaningful ways in the community and enjoying a long-term partnership together."" Director of Korean Investment Yoonie Kim represented the Georgia Department of Economic Development’s (GDEcD) Global Commerce team on this competitive project in partnership with Georgia EMC, Development Authority of Bartow County, the Cartersville-Bartow County Department of Economic Development, and Georgia Quick Start. ""HMG and SK have been pioneering partners for Georgia for decades as one of the major drivers for Georgia’s automotive renaissance and as the first Korean manufacturer to locate in the state, respectively,"" said GDEcD Commissioner Pat Wilson . ""By supporting cooperation and partnerships across our growing EV ecosystem, we're creating a fully integrated supply chain for automotive OEMs while also connecting battery manufacturers with recyclers to close the loop on battery manufacturing. We're excited for the jobs of the future this will create for Bartow County and northwest Georgia, and we're grateful for the support of our community and utility partners!"" Georgia’s prime location, major"
CAND_0B2915BCAF_CHUNK_03,CAND_0B2915BCAF,Supply Chain Evidence,Facet,who makes what where at what scale,segment 3,1164,180,ollama:nomic-embed-text,768,2026-03-24,2026-03-24,1,Keep,69.44,0,69.44,"facet=who makes what where at what scale as created a value chain based on mobility, steel, construction, logistics, finance, IT, and service. With about 250,000 employees worldwide, the Group's mobility brands include Hyundai, Kia, and Genesis. Armed with creative thinking, coope","as created a value chain based on mobility, steel, construction, logistics, finance, IT, and service. With about 250,000 employees worldwide, the Group's mobility brands include Hyundai, Kia, and Genesis. Armed with creative thinking, cooperative communication and the will to take on any challenges, we strive to create a better future for all. For more information about Hyundai Motor Group, please see www.hyundaimotorgroup.com . About SK On SK On is a global leading electric vehicle (EV) battery developer, manufacturer, and solutions provider whose mission is to make our world a cleaner and more convenient place as an electrification linchpin. SK On was launched as an independent company in 2021 after SK Innovation, South Korea’s largest energy company, decided to split off its battery business. SK On aims to become a world leader in the clean energy industry by leveraging its global production base and R&D capabilities, as well as its production and quality management know-how. Headquartered in Seoul, South Korea, SK On has a worldwide presence with battery plants currently operating or in construction across the United States, Europe, and Asia."
CAND_0B2915BCAF_CHUNK_04,CAND_0B2915BCAF,Supply Chain Evidence,Facet,who makes what where at what scale,segment 2,1210,180,ollama:nomic-embed-text,768,2026-03-24,2026-03-24,1,Keep,67.31,0,67.31,"facet=who makes what where at what scale connecting battery manufacturers with recyclers to close the loop on battery manufacturing. We're excited for the jobs of the future this will create for Bartow County and northwest Georgia, and we're grateful for the support of our communi","connecting battery manufacturers with recyclers to close the loop on battery manufacturing. We're excited for the jobs of the future this will create for Bartow County and northwest Georgia, and we're grateful for the support of our community and utility partners!"" Georgia’s prime location, major ports system and extensive infrastructure, skilled workforce, and pro-business climate have made it an attractive location for a diverse array of rapidly developing industries focused on creating a sustainable future. Building on the assets that make the automotive industry successful, Georgia is positioned as a hub for the electric transportation industry. Excluding this announcement, EV-related projects announced in the state since 2020 total approximately $17 billion in investment and more than 22,800 new jobs in Georgia. In addition to the two companies’ EV battery partnership, Hyundai Motor Group separately announced in May its plans to invest $5.54 billion in Hyundai Motor Group Metaplant America, an EV manufacturing facility in Bryan County. Hyundai Motor Group broke ground on the facility in October with Governor Kemp, other state leaders, and local and federal officials. About Hyundai Motor"
CAND_0B2915BCAF_CHUNK_05,CAND_0B2915BCAF,Supply Chain Evidence,Facet,who makes what where at what scale,segment 1,1095,180,ollama:nomic-embed-text,768,2026-03-24,2026-03-24,1,Keep,66.18,0,66.18,"facet=who makes what where at what scale Atlanta, GA – Governor Brian P. Kemp today announced that Hyundai Motor Group (HMG) and SK On have selected a site in Bartow County for a new electric vehicle (EV) battery manufacturing facility that will supply Hyundai Motor Group’s plants","Atlanta, GA – Governor Brian P. Kemp today announced that Hyundai Motor Group (HMG) and SK On have selected a site in Bartow County for a new electric vehicle (EV) battery manufacturing facility that will supply Hyundai Motor Group’s plants in the U.S. One of the largest economic development projects in state history, stakeholders estimate it will create more than 3,500 new jobs through approximately $4-5 billion of investment in Bartow County. Hyundai Motor Group and SK On recently signed a memorandum of understanding (MOU) regarding the partnership for a new EV battery facility in the U.S., with the details of the partnership still in development. ""Hyundai Motor Group and SK On are valued partners and key players in our state's ever-growing automotive industry,"" said Governor Brian Kemp . ""Since day one, my administration has been focused on bringing jobs and opportunity to communities across the state that may have been overlooked in the past. SK and HMG share this goal, and we're proud they are choosing to invest even further in this No. 1 state for business."" Established in"
CAND_949B09990C_CHUNK_01,CAND_949B09990C,Policy and Localization,Facet,who makes what where at what scale,segment 1,820,120,ollama:nomic-embed-text,768,2026-03-24,2026-03-24,1,Keep,69.13,0,69.13,"facet=who makes what where at what scale for its $7.59 billion state-of-the-art vehicle and battery manufacturing facility, with full production expected to begin in fourth quarter 2024. Its first vehicle to roll off the line will be the all-electric IONIQ 5 SUV. As of July 2024,","for its $7.59 billion state-of-the-art vehicle and battery manufacturing facility, with full production expected to begin in fourth quarter 2024. Its first vehicle to roll off the line will be the all-electric IONIQ 5 SUV. As of July 2024, more than $2.5 billion in capital investments have been announced by HMGMA suppliers in 11 counties across the state. [Rivian](/rivian) has selected the East Atlanta Megasite for a future manufacturing facility with an annual capacity of 400,000 vehicles. Providing the full electric vehicle supply chain is critical to a truly sustainable future, and Georgia is rapidly expanding across multiple segments: cathode and anode manufacturing, chemical and mineral solutions, battery manufacturing, metals and aluminum manufacturing, and battery recycling. ## E-Mobility Companies Som"
CAND_949B09990C_CHUNK_02,CAND_949B09990C,Policy and Localization,Facet,"policy, incentives, and localization",segment 3,1328,180,ollama:nomic-embed-text,768,2026-03-24,2026-03-24,1,Keep,68.15,0,68.15,"facet=policy, incentives, and localization ublic-private partnerships and other business models to continue the statewide expansion of charging infrastructure. ## Electric Vehicle Charger (EVC) Tax Credit * An eligible business may claim an income tax credit for the purchase/lease a","ublic-private partnerships and other business models to continue the statewide expansion of charging infrastructure. ## Electric Vehicle Charger (EVC) Tax Credit * An eligible business may claim an income tax credit for the purchase/lease and installation of a qualified EVC in Georgia, up to 10% of the cost or $2,500, whichever is less. The credit is not available for residential locations. * The EVC shall have power levels greater than 130 volts in AC 1 phase, and be located in Georgia for a minimum of five consecutive years. Loading alternative fueling station locator... ## ![Hyundai Ioniq 5](/sites/default/files/styles/coi_featured_image/public/2024-07/2024_HYUNDAI-IONIQ5-SAVANNAH-STATEST-3QUARTER.jpg?itok=-migwEZL ""Hyundai SUV"") ## Focus on the Future Georgia has a proven record of investing early in resources, infrastructure, and job skills needed to support the future of manufacturing. In keeping with this tradition, the **Georgia Electric Mobility and Innovation Alliance** was created to grow the electric mobility ecosystem in the state and strengthen Georgia’s position in electrification-related manufacturing and innovation. Led by the Georgia Department of Economic Development, the alliance includes partners from the private and public sectors, government, electric utilities, education, nonprofits,"
CAND_949B09990C_CHUNK_03,CAND_949B09990C,Policy and Localization,Facet,"policy, incentives, and localization",segment 2,1397,180,ollama:nomic-embed-text,768,2026-03-24,2026-03-24,1,Keep,66.17,0,66.17,"facet=policy, incentives, and localization e of the e-mobility companies operating in Georgia are: Hyundai Motor Group Kia Rivian SK Battery America Ascend Elements Aurubis Blue Bird Corporation Caterpillar Club Car Dongwon Tech Duckyang America EnChem Ltd. EcoPro Energy Assurance G","e of the e-mobility companies operating in Georgia are: Hyundai Motor Group Kia Rivian SK Battery America Ascend Elements Aurubis Blue Bird Corporation Caterpillar Club Car Dongwon Tech Duckyang America EnChem Ltd. EcoPro Energy Assurance GEDIA JCB Kirchoff Heliox Plug Power TEKLAS Textron Yamaha Motor Manufacturing ## Workforce As companies search for their prime business location, access to a dependable pipeline of talent is key. Georgia’s [diverse workforce](https://www.georgia.org/competitive-advantages/workforce-education) includes all skill levels and supports the e-mobility ecosystem with experienced engineers, electricians, machinists, and software developers, to name a few. Representatives from the state’s universities, technical colleges, and industry continue to collaborate and identify workforce development needs for electric mobility related manufacturing, services and innovation. State-sponsored training facilities, top-notch education programs, and nationally ranked colleges provide Georgia businesses with talent that enables them to achieve next-level success. At the high school level, Georgia’s Department of Education, working with industry leaders, is developing the Electric Vehicle Career Pathway which includes EV specific coursework to prepare students for careers in the industry Georgia Quick Start, the nation’s No. 1 workforce training program, develops"
CAND_949B09990C_CHUNK_04,CAND_949B09990C,Policy and Localization,Facet,"policy, incentives, and localization",segment 3,1227,135,ollama:nomic-embed-text,768,2026-03-24,2026-03-24,1,Keep,65.69,0,65.69,"facet=policy, incentives, and localization Innovation Alliance** was created to grow the electric mobility ecosystem in the state and strengthen Georgia’s position in electrification-related manufacturing and innovation. Led by the Georgia Department of Economic Development, the all","Innovation Alliance** was created to grow the electric mobility ecosystem in the state and strengthen Georgia’s position in electrification-related manufacturing and innovation. Led by the Georgia Department of Economic Development, the alliance includes partners from the private and public sectors, government, electric utilities, education, nonprofits, and other stakeholders. Read more about [EMIA's goals](https://www.georgia.org/press-release/georgia-lands-350-new-jobs-e-mobility-manufacturing). Start the Conversation [Contact Us](/about-us/contact-us) ![](/sites/default/files/styles/video_thumbnail_image/public/2022-01/rivian_welcome_green_trucks.jpg?itok=DP15H1Nk) On December 16, 2021, Governor Brian Kemp announced that electric adventure vehicle manufacturer Rivian Inc. would expand its manufacturing operations with a second U.S. plant in the State of Georgia. The company will invest $5 billion in a carbon-conscious campus in Georgia. ## EV & Mobility News [Read More](/ev-mobility-newsroom) 29 Aug Press Release ### [August 29, 2024 Gov Kemp: Georgia Job Creation Remains Strong](/press-release/gov-kemp-georgia-job-creation-remains-strong) ATLANTA – August 29, 2024 – Governor Brian P. Kemp, in conjunction"
CAND_949B09990C_CHUNK_05,CAND_949B09990C,Policy and Localization,Facet,who makes what where at what scale,segment 1,1653,180,ollama:nomic-embed-text,768,2026-03-24,2026-03-24,1,Keep,60.92,0,60.92,"facet=who makes what where at what scale [![Georgia Department of Economic Development](/themes/custom/mmg8_cog/GA_USA_Horizontal_Gray.png)](https://www.georgia.org/ ""Georgia.org:Home"") * [Instagram](https://instagram.com/gdecd) * [Facebook](https://www.facebook.com/gdecd) * [Twit","[![Georgia Department of Economic Development](/themes/custom/mmg8_cog/GA_USA_Horizontal_Gray.png)](https://www.georgia.org/ ""Georgia.org:Home"") * [Instagram](https://instagram.com/gdecd) * [Facebook](https://www.facebook.com/gdecd) * [Twitter](https://twitter.com/gdecd) * [Linkedin](https://www.linkedin.com/company/georgia-department-of-economic-development) * [YouTube](https://www.youtube.com/user/GeorgiaBusinessUSA) ![Kia EV9 with blue skies rolling green hills in the background](/sites/default/files/styles/landscape_hero_xxxl/public/2024-02/ev9_hero.png?itok=zK61BVDN) # Georgia Electric Vehicle Manufacturing Building on the assets that make the state's [automotive industry](/industries/automotive) successful, Georgia is rapidly developing as the capital of EV manufacturing for the nation. Over $27.3 billion in e-mobility investments have been announced in Georgia since 2018. In May 2024, [Kia](/press-release/kia-invest-over-200-million-ev9-production-expansion)’s facility in West Point, which manufactures an estimated 40% of the Kia models sold in the nation, began production of its three-row EV9 SUV in May 2024. With an annual capacity of 350,000 units, Kia Georgia is home to the Telluride SUV, Sorento SUV models, Sportage SUV models, and now the all-electric EV9. [Hyundai Motor Group Metaplant America (HMGMA)](/hyundaimotorgroup) selected Bryan County for its $7.59 billion state-of-the-art vehicle and battery manufacturing facility, with full production expected to begin in fourth quarter 2024. Its first vehicle to roll off the line will be the all-electric IONIQ 5 SUV. As of July 2024, more than $2.5 billion in capital"
